"filename", "language", "Python", "Shell Script", "JSON", "HTML", "pip requirements", "HTTP", "Properties", "reStructuredText", "Batch", "PowerShell", "C++", "C", "JavaScript", "Ini", "Jinja", "XML", "PostCSS", "SCSS", "Markdown", "ANTLR", "comment", "blank", "total"
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\api.py", "Python", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 27, 319
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\permissions.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 18
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\queries.py", "Python", 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 47, 331
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\schemas.py", "Python", 404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 92, 522
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\services.py", "Python", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 32, 199
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\admin\views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\api.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 43
"c:\BachKhoa\HK251\DoAn\ProjectBE\DOANCHUYENNGANH\backend\attachment\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
